Instruction,Input,Output,materi,question_id
Write a Python function which takes in an argument and returns a corresponding string.,"Given an argument of 1,2 or 3","def get_string(arg):
    """"""
    This function takes in an argument and returns the corresponding
    string. 
 
    Parameters:
    arg (int): the argument

    Returns:
    str: the corresponding string
    """"""
    if arg == 1:
        return ""One""
    elif arg == 2:
        return ""Two""
    elif arg ==3:
        return ""Three""
    else:
        return """"",Data Type,10
Build a Python script to remove all punctuation from a given string.,"""This is a cool string!""","import string

input_str = ""This is a cool string!""
punctuation_removed = input_str.translate(str.maketrans('', '', string.punctuation))
print(punctuation_removed)",Data Type,22
Create a program in Python to split a string into an array based on a given delimiter.,"String: Hello,World
Delimiter: ,","def split_string(s, delimiter): 
 return s.split(delimiter)

string = 'Hello,World'
delimiter = ','

result = split_string(string, delimiter)

# Outputs ['Hello', 'World']",Data Type,24
"Create a Python script to transform a list of strings into a list of integers, each integer representing the length of the corresponding string.","[""Hello"", ""World"", ""Goodbye""]","def string_to_length(list_strings):
    return [len(string) for string in list_strings]",Data Type,37
Use an existing Python function to find the longest string in the following array.,"arr = [""cat"", ""dog"", ""elephant"", ""squirrel"", ""moose""","max(arr, key=len) # returns ""elephant""",Data Type,42
Refactor a Python program to concatenate two strings without using the string.concat() function,"// Python program
str1 = ""Hello ""
str2 = ""World""

result = str1.concat(str2)
print(""Concatenated string: "", result)","str1 = ""Hello ""
str2 = ""World""
result = str1 + str2
print(""Concatenated string: "", result)",Data Type,45
Create a function in Python to find the longest string in a given list of strings,"[""Apple"", ""Banana"", ""Orange"", ""Mango"", ""Pineapple""]","def find_longest_string(arr):
    longest_string = ''
    for s in arr:
        if len(s) > len(longest_string):
            longest_string = s
    return longest_string

arr = [""Apple"", ""Banana"", ""Orange"", ""Mango"", ""Pineapple""]
result = find_longest_string(arr)
print('Longest string is', result)",Data Type,69
"Write a python program that will take a given string and return a new string that is the same as the given one, except that all letters are reversed.","""Hello World!""","def reverseString(string): 
    string = """".join(reversed(string)) 
    return string 

if __name__ == ""__main__"": 
    string = ""Hello World!""
    print(reverseString(string))

# Output:
""!dlroW olleH""",Data Type,71
Design a Python algorithm to parse a list of strings and prints the longest string's length.,"listOfString= [""I"", ""am"", ""so"", ""happy""]","listStrings= [""I"", ""am"", ""so"", ""happy""]
longestStringLen = 0
for string in listStrings:
    if (len(string) > longestStringLen):
        longestStringLen = len(string)

print(longestStringLen)",Data Type,79
"In Python, use the re module to remove the HTML tags from a given string.",String: <b>This is a bold string</b>,"import re

string = ""<b>This is a bold string</b>""

clean_string = re.sub(r'<[^>]*>', '', string)

print(clean_string)",Data Type,81
