soal_id,isi_soal,tingkat_kesulitan,nama_materi,user_id,opsi_a,opsi_b,jawaban_user,jawaban_benar
101,Apa tujuan utama dari sebuah fungsi dalam Python?,mudah,fungsi,1,Untuk mengelompokkan kode yang sering digunakan,Untuk mendefiniskan kelas,Untuk mengelompokkan kode yang sering digunakan,Untuk mengelompokkan kode yang sering digunakan
102,Bagaimana cara mendefinisikan sebuah fungsi dalam Python?,mudah,fungsi,1,create function nama_fungsi(),def nama_fungsi(),create function nama_fungsi(),def nama_fungsi()
103,Apa yang terjadi jika sebuah fungsi tidak mengembalikan nilai?,mudah,fungsi,2,Terjadi error,Fungsi akan mengembalikan nilai None,Terjadi error,Fungsi akan mengembalikan nilai None
104,Apa yang dimaksud dengan argumen dalam sebuah fungsi?,mudah,fungsi,2,Nilai yang diberikan kepada fungsi saat dipanggil,Nilai yang dikembalikan oleh fungsi,Nilai yang diberikan kepada fungsi saat dipanggil,Nilai yang diberikan kepada fungsi saat dipanggil
105,Apa perbedaan antara argumen posisi dan argumen keyword,mudah,fungsi,3,"Argumen posisi ditentukan oleh urutannya, sedangkan argumen keyword ditentukan oleh namanya","Argumen posisi selalu bertipe integer, sedangkan argumen keyword bisa bertipe apa saja","Argumen posisi ditentukan oleh urutannya, sedangkan argumen keyword ditentukan oleh namanya","Argumen posisi ditentukan oleh urutannya, sedangkan argumen keyword ditentukan oleh namanya"
106,Apa yang dimaksud dengan rekursi dalam fungsi?,mudah,fungsi,3,Sebuah fungsi yang selalu mengembalikan nilai yang sama,Sebuah fungsi yang memanggil dirinya sendiri,Sebuah fungsi yang selalu mengembalikan nilai yang sama,Sebuah fungsi yang memanggil dirinya sendiri
107,Apa keuntungan menggunakan fungsi,mudah,fungsi,4,Membuat kode lebih terstruktur dan mudah dibaca,Menambah jumlah baris kode,Membuat kode lebih terstruktur dan mudah dibaca,Membuat kode lebih terstruktur dan mudah dibaca
108,Bagaimana cara memanggil fungsi my_function dengan argumen a dan b,mudah,fungsi,4,"function my_function(a, b)","my_function(a, b)","function my_function(a, b)","my_function(a, b)"
109,Apa yang terjadi jika kita mencoba memanggil fungsi yang belum didefinisikan?,sedang,fungsi,1,Fungsi akan dibuat secara otomatis,Terjadi error NameError,Fungsi akan dibuat secara otomatis,Terjadi error NameError
110,Apa yang dimaksud dengan modul dalam Python?,sedang,fungsi,1,Sebuah file yang berisi kumpulan fungsi dan variabel,,Sebuah file yang berisi kumpulan fungsi dan variabel,Sebuah file yang berisi kumpulan fungsi dan variabel
111,Bagaimana cara mengimpor semua fungsi dari modul math,sedang,fungsi,2,from math import *,include math,from math import *,from math import *
112,Apa keuntungan menggunakan modul,sedang,fungsi,2,menghambat kolaborasi dalam proyek,Membuat kode lebih terorganisir,menghambat kolaborasi dalam proyek,Membuat kode lebih terorganisir
113,Bagaimana cara mengimpor modul di Python?,sedang,fungsi,3,import modul_name,include modul_name,import modul_name,import modul_name
114,Fungsi `split()` digunakan untuk apa?,sedang,fungsi,3,Menggabungkan string,Memisahkan string menjadi list,Menggabungkan string,Memisahkan string menjadi list
114,Fungsi `split()` digunakan untuk apa?,sedang,fungsi,4,Menggabungkan string,Memisahkan string menjadi list,Menggabungkan string,Memisahkan string menjadi list
115,Bagaimana cara yang benar untuk membuat fungsi dalam Python?,sedang,fungsi,4,create myFunction(),def myFunction():,create myFunction(),def myFunction():
116,"Untuk mengacak daftar (misalkan list1), fungsi apa yang kita gunakan?",sulit,fungsi,1,random.shuffle(list1),random.shuffleList(list1),random.shuffle(list1),random.shuffle(list1)
117,"Apa output dari 
def sayHello():
    print('Hello World!') 
sayHello() 
sayHello()",sulit,fungsi,2,"Hello World!
Hello World!","Hello World!'
'Hello World!'","Hello World!
Hello World!","Hello World!
Hello World!"
118,"Apa output dari 
def say(message, times = 1):
    print(message * times)
say('Hello')
say('World', 5)",sulit,fungsi,3,"Hello
WorldWorldWorldWorldWorld","Hello
World,World,World,World,World","Hello
WorldWorldWorldWorldWorld","Hello
WorldWorldWorldWorldWorld"
119,"Apa output dari
def multiply_list(lst): 
  result = 1 
  for i in lst: 
    result *= i 
  return result
print(multiply_list([1,2,3]))",sulit,fungsi,4,"[1,2,3]",6,"[1,2,3]",6
120,Apa yang dimaksud dengan metode dalam OOP,mudah,OOP,1,Sebuah variabel global yang dapat diakses oleh semua objek,Sebuah tindakan yang dapat dilakukan oleh objek,Sebuah variabel global yang dapat diakses oleh semua objek,Sebuah tindakan yang dapat dilakukan oleh objek
120,Apa yang dimaksud dengan metode dalam OOP,mudah,OOP,2,Sebuah variabel global yang dapat diakses oleh semua objek,Sebuah tindakan yang dapat dilakukan oleh objek,Sebuah variabel global yang dapat diakses oleh semua objek,Sebuah tindakan yang dapat dilakukan oleh objek
120,Apa yang dimaksud dengan metode dalam OOP,mudah,OOP,3,Sebuah variabel global yang dapat diakses oleh semua objek,Sebuah tindakan yang dapat dilakukan oleh objek,Sebuah variabel global yang dapat diakses oleh semua objek,Sebuah tindakan yang dapat dilakukan oleh objek
120,Apa yang dimaksud dengan metode dalam OOP,mudah,OOP,4,Sebuah variabel global yang dapat diakses oleh semua objek,Sebuah tindakan yang dapat dilakukan oleh objek,Sebuah variabel global yang dapat diakses oleh semua objek,Sebuah tindakan yang dapat dilakukan oleh objek
121,Apa yang dimaksud dengan kelas dalam OOP?,sedang,OOP,1,Sebuah blueprint untuk membuat objek,Sebuah struktur data untuk menyimpan data,Sebuah blueprint untuk membuat objek,Sebuah blueprint untuk membuat objek
121,Apa yang dimaksud dengan kelas dalam OOP?,sedang,OOP,2,Sebuah blueprint untuk membuat objek,Sebuah struktur data untuk menyimpan data,Sebuah blueprint untuk membuat objek,Sebuah blueprint untuk membuat objek
121,Apa yang dimaksud dengan kelas dalam OOP?,sedang,OOP,3,Sebuah blueprint untuk membuat objek,Sebuah struktur data untuk menyimpan data,Sebuah blueprint untuk membuat objek,Sebuah blueprint untuk membuat objek
121,Apa yang dimaksud dengan kelas dalam OOP?,sedang,OOP,4,Sebuah blueprint untuk membuat objek,Sebuah struktur data untuk menyimpan data,Sebuah blueprint untuk membuat objek,Sebuah blueprint untuk membuat objek
122,Apa yang dimaksud dengan objek dalam OOP?,sedang,OOP,1,Sebuah modul yang berisi kelas-kelas,Sebuah instance dari sebuah kelas,Sebuah modul yang berisi kelas-kelas,Sebuah instance dari sebuah kelas
122,Apa yang dimaksud dengan objek dalam OOP?,sedang,OOP,2,Sebuah modul yang berisi kelas-kelas,Sebuah instance dari sebuah kelas,Sebuah modul yang berisi kelas-kelas,Sebuah instance dari sebuah kelas
122,Apa yang dimaksud dengan objek dalam OOP?,sedang,OOP,3,Sebuah modul yang berisi kelas-kelas,Sebuah instance dari sebuah kelas,Sebuah modul yang berisi kelas-kelas,Sebuah instance dari sebuah kelas
122,Apa yang dimaksud dengan objek dalam OOP?,sedang,OOP,4,Sebuah modul yang berisi kelas-kelas,Sebuah instance dari sebuah kelas,Sebuah modul yang berisi kelas-kelas,Sebuah instance dari sebuah kelas
123,Apa yang dimaksud dengan OOP?,mudah,OOP,1,Object-Oriented Programming,Open-Order Program,Object-Oriented Programming,Object-Oriented Programming
123,Apa yang dimaksud dengan OOP?,mudah,OOP,2,Object-Oriented Programming,Open-Order Program,Object-Oriented Programming,Object-Oriented Programming
123,Apa yang dimaksud dengan OOP?,mudah,OOP,3,Object-Oriented Programming,Open-Order Program,Object-Oriented Programming,Object-Oriented Programming
123,Apa yang dimaksud dengan OOP?,mudah,OOP,4,Object-Oriented Programming,Open-Order Program,Object-Oriented Programming,Object-Oriented Programming
124,Apa peran dari '__init__' dalam class di Python?,sulit,OOP,1,untuk menginisialisasi atribut (atau properti) dari objek dan memastikan bahwa objek tersebut siap digunakan.,parameter pertama,untuk menginisialisasi atribut (atau properti) dari objek dan memastikan bahwa objek tersebut siap digunakan.,untuk menginisialisasi atribut (atau properti) dari objek dan memastikan bahwa objek tersebut siap digunakan.
124,Apa peran dari '__init__' dalam class di Python?,sulit,OOP,2,untuk menginisialisasi atribut (atau properti) dari objek dan memastikan bahwa objek tersebut siap digunakan.,parameter pertama,untuk menginisialisasi atribut (atau properti) dari objek dan memastikan bahwa objek tersebut siap digunakan.,untuk menginisialisasi atribut (atau properti) dari objek dan memastikan bahwa objek tersebut siap digunakan.
