Instruction,Input,Output,materi,question_id,Template,correct_answer
Design a class in Python that models a customer with the following properties,"Attributes: name, email, phone_number, address.","class Customer:
    def __init__(self,name, email, phone_number, address):
        self.name = name
        self.email = email
        self.phone_number = phone_number
        self.address = address",OOP,34,"class ___:
    def __init__(self,name, email, phone_number, address):
        self.name = name
        self.email = email
        self.phone_number = phone_number
        self.address = address",Customer
Create a class in Python that represents a given animal object.,Cat,"class Cat:
    def __init__(self):
        self.name = """"
        self.colour = """"
        self.age = 0
        self.breed = """"

    def meow(self):
        print(self.name, ""says meow!"")",OOP,595,"class ___:
    def __init__(self):
        self.name = """"
        self.colour = """"
        self.age = 0
        self.breed = """"

    def meow(self):
        print(self.name, ""says meow!"")",Cat
Extend a Python class to create another class with similar behavior.,"class Vehicle:
	def __init__(self):
		self.speed = 0
		self.odometer = 0
		self.time = 0","class Motorcycle(Vehicle):
    def __init__(self):
        super().__init__()
        self.num_wheels = 2
        self.type = 'motorcycle'

    def accelerate(self):
        self.speed += 10

    def brake(self):
        self.speed = max(self.speed - 7, 0)",OOP,836,"class ___(Vehicle):
    def __init__(self):
        super().__init__()
        self.num_wheels = 2
        self.type = 'motorcycle'

    def accelerate(self):
        self.speed += 10

    def brake(self):
        self.speed = max(self.speed - 7, 0)",Motorcycle
Edit the following Python class such that it can accept a variable number of parameters.,"class Person:
    def __init__(self, name, age, weight):
        self.name = name
        self.age = age
        self.weight = weight","class Person:
    def __init__(self, *args):
        self.name = args[0]
        self.age = args[1]
        self.weight = args[2]",OOP,1386,"class ___:
    def __init__(self, *args):
        self.name = args[0]
        self.age = args[1]
        self.weight = args[2]",Person
Write Python code to implement a class like this.,"class Employee: 
    def __init__(self, name, age): 
        self.name = name 
        self.age = age","class Employee: 
    def __init__(self, name, age):
        self.name = name 
        self.age = age 
    
     def __str__(self): 
        return ""Employee({0}, {1})"".format(self.name,self.age) 
 
emp = Employee(""John"", 24) 
print(emp)",OOP,1520,"class ___: 
    def __init__(self, name, age):
        self.name = name 
        self.age = age 
    
     def __str__(self): 
        return ""Employee({0}, {1})"".format(self.name,self.age) 
 
emp = Employee(""John"", 24) 
print(emp)",Employee
Generate a class in Python using the parameters provided in the following Input section.,"class_name = ""Person""
attributes = [""Name"", ""Age"", ""Gender""]","class Person:
    def __init__(self, Name, Age, Gender):
        self.Name = Name
        self.Age = Age
        self.Gender = Gender",OOP,1781,"class ___:
    def __init__(self, Name, Age, Gender):
        self.Name = Name
        self.Age = Age
        self.Gender = Gender",Person
Transform the code snippet into a Python class.,"def multiply(x, y):
    return x * y","class Calculator:
    def __init__(self):
        pass

    def multiply(self, x, y):
        return x * y",OOP,1797,"class ___:
    def __init__(self):
        pass

    def multiply(self, x, y):
        return x * y",Calculator
"Generate a new Python class which extends some existing class, but with a modified constructor.","class A:
    def __init__(self, param1, param2):
        self.param1 = param1
        self.param2 = param2","class B(A):
    def __init__(self, param1, param2, param3):
        super().__init__(param1, param2)
        self.param3 = param3",OOP,1871,"class ___(A):
    def __init__(self, param1, param2, param3):
        super().__init__(param1, param2)
        self.param3 = param3",B
Complete the Python class below so that it can calculate the sum of two integers.,"class Sum:
    def __init__(self, x, y):
        self.x = x
        self.y = y","class Sum:
    def __init__(self, x, y):
        self.x = x
        self.y = y
        
    def add(self):
        return self.x + self.y",OOP,2023,"class ___:
    def __init__(self, x, y):
        self.x = x
        self.y = y
        
    def add(self):
        return self.x + self.y",Sum
Write a Python class to represent a polynomial of degree n.,<no input>,"class Polynomial:
    def __init__(self, coeff):
        self.coeff = coeff

    def __call__(self, x):
        result = 0
        for idx, c in enumerate(self.coeff):
            result += c * x ** idx
        return result",OOP,2112,"class ___:
    def __init__(self, coeff):
        self.coeff = coeff

    def __call__(self, x):
        result = 0
        for idx, c in enumerate(self.coeff):
            result += c * x ** idx
        return result",Polynomial
What is the purpose of the method in line 4 of the code?,"def random_number_generator(min, max):
  """"""Return a random number between the given range.""""""
  rng = random.range(min, max)
  return rng","The purpose of the method in line 4 is to generate a random number within the given range of min and max. It uses the Python's random.range() method which returns a random integer from the range of min to max, inclusive.",OOP,2201,"The purpose of the method ___ line 4 is to generate a random number within the given range of min and max. It uses the Python's random.range() method which returns a random integer from the range of min to max, inclusive.",in
"using the following Json as an example, write a Python program that reads this Json into an object.","{
   ""id"":1,
   ""name"":""Testing"",
   ""description"":""This is a test""
}","import json

# example data
data = '{""id"":1,""name"":""Testing"",""description"":""This is a test""}'

# parse data into a Python object
obj = json.loads(data)

print(obj)",OOP,2208,"import json

# example data
data = '{""id"":1,""name"":""Testing"",""description"":""This is a test""}'

# parse data into a Python object ___ = json.loads(data)

print(obj)",obj
Create a class in Python that takes two arguments a 'name' and 'age' and returns a greeting.,-,"class Greeting:
    def __init__(self, name, age):
        self.name = name
        self.age = age
    
    def get_greeting(self):
        return f""Hello, my name is {self.name} and I am {self.age} years old.""",OOP,2282,"class ___:
    def __init__(self, name, age):
        self.name = name
        self.age = age
    
    def get_greeting(self):
        return f""Hello, my name is {self.name} and I am {self.age} years old.""",Greeting
Construct a Python class that takes a given number and calculates the sum of the digits.,6342,"class SumOfDigits:
    
    def __init__(self, num):
        self.num = num
    
    def calculate_sum_of_digits(self):
        total = 0
        for ch in str(self.num):
            total += int(ch)
        return total

digit_sum = SumOfDigits(6342)
result = digit_sum.calculate_sum_of_digits()
print(result)",OOP,2456,"class ___:
    
    def __init__(self, num):
        self.num = num
    
    def calculate_sum_of_digits(self):
        total = 0
        for ch in str(self.num):
            total += int(ch)
        return total

digit_sum = SumOfDigits(6342)
result = digit_sum.calculate_sum_of_digits()
print(result)",SumOfDigits
Create a python class that simulates an invoice with information about the item and the cost.,"Example of an Invoice:

Item: Pen
Price: $3","class Invoice:
    def __init__(self, item, price):
        self.item = item
        self.price = price
    
    def get_item(self):
        return self.item
    
    def get_price(self):
        return self.price

invoice = Invoice(""Pen"", 3)",OOP,2520,"class ___:
    def __init__(self, item, price):
        self.item = item
        self.price = price
    
    def get_item(self):
        return self.item
    
    def get_price(self):
        return self.price

invoice = Invoice(""Pen"", 3)",Invoice
Design a class in Python to store details of a person,"Name: John
Age: 34","class Person:
    def __init__(self, name, age):
        self.name = name
        self.age = age

person = Person('John', 34)",OOP,2577,"class ___:
    def __init__(self, name, age):
        self.name = name
        self.age = age

person = Person('John', 34)",Person
Design a class in Python to represent a circle.,< noinput >,"class Circle:
    """"""Class to represent a circle.""""""
    def __init__(self, radius):
        """"""Initialize the circle.""""""
        self.radius = radius

    def get_area(self):
        """"""Calculate and return the area of the circle.""""""
        return 3.14 * self.radius * self.radius",OOP,2782,"class ___:
    """"""Class to represent a circle.""""""
    def __init__(self, radius):
        """"""Initialize the circle.""""""
        self.radius = radius

    def get_area(self):
        """"""Calculate and return the area of the circle.""""""
        return 3.14 * self.radius * self.radius",Circle
Construct a Python class with the following atributes and methods.,"Attributes: name, ID
Methods: setName, setID, getName, getID","class MyClass:
    def __init__(self):
        self.name = """"
        self.ID = 0
 
    def setName(self, name):
        self.name = name
    
    def setID(self, ID):
        self.ID = ID
 
    def getName(self):
        return self.name
 
    def getID(self):
        return self.ID",OOP,3142,"class ___:
    def __init__(self):
        self.name = """"
        self.ID = 0
 
    def setName(self, name):
        self.name = name
    
    def setID(self, ID):
        self.ID = ID
 
    def getName(self):
        return self.name
 
    def getID(self):
        return self.ID",MyClass
Create a class in python that finds the sum of two numbers.,No input,"class Sum:
    def __init__(self, x, y):
        self.x = x
        self.y = y
    
    def find_sum(self):
        return self.x + self.y
        
if __name__ == '__main__':
    s = Sum(10, 5)
    print(s.find_sum())",OOP,3380,"class ___:
    def __init__(self, x, y):
        self.x = x
        self.y = y
    
    def find_sum(self):
        return self.x + self.y
        
if __name__ == '__main__':
    s = Sum(10, 5)
    print(s.find_sum())",Sum
Create a class in Python to generate a calendar.,"calendarName = ""My Calendar""","class CalendarGenerator(object):

    def __init__(self, name):
        self.name = name

    def generate_calendar(self):
        calendar = []

        # Code to generate a calendar goes here

        return calendar

calendar = CalendarGenerator(calendarName)
calendar.generate_calendar()",OOP,3441,"class ___(object):

    def __init__(self, name):
        self.name = name

    def generate_calendar(self):
        calendar = []

        # Code to generate a calendar goes here

        return calendar

calendar = CalendarGenerator(calendarName)
calendar.generate_calendar()",CalendarGenerator
Create a class in Python to handle the following Student object.,"Name: John
Age: 20
Marks: [80, 90, 85, 100]","class Student:
    def __init__(self, name, age, marks):
        self.name = name
        self.age = age
        self.marks = marks
        
    def get_name(self):
        return self.name
    
    def get_age(self):
        return self.age
    
    def get_total_marks(self):
        return sum(self.marks)",OOP,3483,"class ___:
    def __init__(self, name, age, marks):
        self.name = name
        self.age = age
        self.marks = marks
        
    def get_name(self):
        return self.name
    
    def get_age(self):
        return self.age
    
    def get_total_marks(self):
        return sum(self.marks)",Student
Rewrite a given Java class using Python syntax.,"Java class MyClass with fields ""x"" and ""y"":

public class MyClass {
 int x;
 int y;

 public MyClass(int x, int y) {
  this.x = x;
  this.y = y;
 }
}","class MyClass:
 def __init__(self, x, y):
  self.x = x
  self.y = y",OOP,3924,"class ___:
 def __init__(self, x, y):
  self.x = x
  self.y = y",MyClass
