question_id,material,instruction,template,input,correct_answer,attempts,duration
2,Introduction Python,Edit the following Python code such that it will print an array containing the seven days of the week.,"days = [""Monday"", ""Tuesday"", ""Wednesday"", ""Thursday"", ""Friday"", ""Saturday"", ""Sunday""]

for day in days:
    print(___)","days = [""Monday"", ""Thuesday"", ""Wednesday"", ""Thrusday"", ""Friday""]

for day in days:
    print(day)",day,1,20
11,Introduction Python,Generate a code snippet to print a pattern of stars in Python.,"# Use two for loops to print pattern
for i in range(0, rows):
    for j in range(0, i + 1):
        print(""* "", end="""")
    print(___)",rows = 5,"""\r""",1,20
58,Introduction Python,Create a Python program to loop through a given list and print each item on a new line.,"for item in my_list:
    print(___)","my_list = [""apples"", ""oranges"", ""bananas""]",item,1,20
96,Introduction Python,Find the most efficient Python code to print all the divisors of an input number.,"# Python Program to find the factors of a number

# define a function
def print_divisors(input):

    # find all factors of the input number
    for i in range(1, input + 1):
        if input % i == 0:
            print(___)

# take input from the user
input = 28

# print the divisors
print_divisors(input)",input = 28,i,1,20
126,Introduction Python,Edit this python code to make the output print in descending order (from highest to lowest).,"my_list = [10,2,5,1,20]

for x in my_list:
    print(___)
    
for x in sorted(my_list, reverse=True):
    print(x)","my_list = [10,2,5,1,20]

for x in my_list:
    print(x)",x,1,20
160,Introduction Python,Create a Python script to print out each word that begins with a vowel in a sentence.,"for word in sentence.split():
    if word[0].lower() in 'aeiou':
        print(___)",Sentence: The quick brown fox jumped over the lazy dog,word,1,20
183,Introduction Python,"Using the input provided, write a Python program to print the sum of the numbers in both lists.","list3 = list1 + list2

total = 0

for num in list3:
    total += num 

print(___)  # output: 29","list1 = [7, 4, 5] 
list2 = [8, 10, 4]",total,1,20
275,Introduction Python,Write a Python program to print out the factorial of a number.,"def factorial(x):
    factorial = 1
    while x > 1:
        factorial = factorial * x
        x = x - 1
    return factorial

number = 7
result = factorial(number)
print(___)",7,result,1,20
285,Introduction Python,Construct a for loop in Python to print all the values from a list of numbers.,"for x in mylist: 
  print(___)","mylist = [1, 2, 3, 4, 5]",x,1,20
318,Introduction Python,Develop a program to print all unique strings from a given array of strings,"def unique_strings(strings):
    unique_strings = []
    for string in strings:
        if string not in unique_strings:
            unique_strings.append(string)
    return unique_strings

strings = [""Hello"", ""World"", ""Hello"", ""Python""]
result = unique_strings(strings)
print(___)","[""Hello"", ""World"", ""Hello"", ""Python""]",result,1,20
350,Introduction Python,Write a Python program to print all combinations of three numbers from the given list.,"import itertools 
  
# initializing list 
num_list = [1, 2, 3, 4] 
  
# printing all possible combinations 
result = itertools.combinations(num_list, 3) 
  
# printing the result 
print(""All possible combinations are : "") 
for item in result: 
    print(___)","num_list = [1, 2, 3, 4]",item,1,20
359,Introduction Python,Write a Python snippet to print the difference between the largest and smallest values in a given array.,"def diff_max_min(numbers):
    return max(numbers) - min(numbers)
  
if __name__ == '__main__':
    nums = [1,2,3,4,5]
    diff = diff_max_min(nums)
    print(___)","[1,2,3,4,5]",diff,1,20
367,Introduction Python,Write a Python program to print even numbers from 0 to the number provided,"def print_even_numbers(N):
    for x in range(0, N+1):
        if x%2 == 0:
            print(___)",N = 30,x,1,20
445,Introduction Python,Write a Python program to print a given dictionary where the keys are numbers between 1 and 3 and the values are a list from 1 to the number key.,"d = {1: [1], 2: [1,2], 3: [1,2,3]}
for k,v in d.items():
    print(___)",-,"k,v",1,20
466,Introduction Python,Create a program in Python to print all elements of a given set.,"my_set = {10, 20, 30}
for i in my_set:
    print(___)","{10, 20, 30}",i,1,20
