question_id,material,instruction,template,input,correct_answer,attempts,duration
60,Operator,Create a for-loop in Python and use it to find the sum of a list of integers.,"total = ___
for num in [1, 4, 9, 16, 25]:
  total += num
print(total)","[1, 4, 9, 16, 25]",0,1,20
104,Operator,Write a Python code to generate the Fibonacci sequence up to n-th number.,"def fibonacciSequence(n): 
    fibSequence = []
    a, b = ___, 1
    while b < n:
        fibSequence.append(b)
        a, b = b, a + b
    return fibSequence

n = 7

print(fibonacciSequence(n)) // [1, 1, 2, 3, 5]",7,0,1,20
115,Operator,Create a function to calculate the midpoint between two 3-dimensional points using Python.,"def midpoint3D(point1, point2): 
    x_mid = (point1[0] + ___[0]) / 2
    y_mid = (point1[1] + point2[1]) / 2
    z_mid = (point1[2] + point2[2]) / 2
    return [x_mid, y_mid, z_mid]

point1 = [35.0, 43.0, 81.0]
point2 = [82.0, 54.0, 19.0]
midpoint = midpoint3D(point1, point2)
print(midpoint) # [58.5, 48.5, 50.0]","point1 = [35.0, 43.0, 81.0]
point2 = [82.0, 54.0, 19.0]",point2,1,20
127,Operator,Edit the given Python code to reverse the order of the letters in a string without using any in-built string functions.,"def reverse_string(string):
    reversed_string = """"
    for i in range(len(string) - ___, -1, -1):
        reversed_string += string[i]
    return reversed_string

string = ""Hello World!"" 
reverse_string(string)","string = ""Hello World!""",1,1,20
137,Operator,Write a Python program to convert a timestamp (in seconds) to a date format (dd-mm-yyyy).,"import datetime

# Function to convert the timestamp 
def getDateTime(timestamp):
 return datetime.datetime.fromtimestamp(timestamp).strftime(""%d-%m-%Y"")

# Driver program
timestamp = ___
print(getDateTime(timestamp))
# Output: 17-06-2020",timestamp: 1591123259,1591123259,1,20
139,Operator,Convert the below pseudo-code into valid Python code.,"x = ___

while x < 10:
    x = x + 2
    if x == 4:
        continue
    print(x)","x = 0

while x<10:
    x = x + 2
    if x==4:
        continue
    print(x)",0,1,20
193,Operator,Create a Python program that updates the dictionary with the new key-value pair.,"dictionary = {'apple': 1, 'banana': 2, 'orange': 3}
key = 'mango'
value = ___

dictionary[key] = value
print(dictionary)
# {'apple': 1, 'banana': 2, 'orange': 3, 'mango': 4}","dictionary = {'apple': 1, 'banana': 2, 'orange': 3}
key = 'mango'
value = 4",4,1,20
244,Operator,Write an optimization function for finding the minimum of a two-dimensional scalar field in Python.,"def findMin(scalarField):
 minVal = ___('inf')
 minInd = (-1, -1)
 for i in range(len(scalarField)):
 for j in range(len(scalarField[i])):
 val = scalarField[i][j]
 if val < minVal:
 minVal = val
 minInd = (i, j)
 return minInd","a scalar field represented as a 2D array (e.g. [[2, 1], [4, 3]] where value at position [i][j] is 2i + j)",float,1,20
245,Operator,"Create a Python program to validate user input. The program should take a string and only return ""valid"" if the string contains only the characters a-z, 0-9, and _ .","text_string = ___()

valid_characters = ""abcdefghijklmnopqrstuvwxyz0123456789_""

is_valid = True

for c in text_string:
 if c not in valid_characters:
 is_valid = False

if is_valid:
 print ""Valid""
else:
 print ""Invalid""","text_string = ""valid_string123""",input,1,20
296,Operator,De-duplicate the given list using a dictionary in Python?,"input_list = [10, 20, 30, 10, 40, 20]
unique_list = ___(dict.fromkeys(input_list))
print(unique_list)","[10, 20, 30, 10, 40, 20]",list,1,20
300,Operator,Write a code to generate a two-dimensional array with zeros shapes in Python,"""""""
Write a code to generate a two-dimensional array with zeros shapes in Python
""""""

def generate_zeros_array(row,col):
    return [[0] * ___ for _ in range(row)]

# Example
row = 3
col = 3

array = generate_zeros_array(row, col)
print(array)
# Output: [[0, 0, 0], [0, 0, 0], [0, 0, 0]]","Row = 3, Column = 3",col,1,20
302,Operator,Write a Python program to find the n-th smallest number in the following list,"def nth_smallest(input_list, n):
    input_list.sort()
    return input_list[n-1]

input_list = [2, 3, 5, 7, 11]
n = ___
result = nth_smallest(input_list, n)
print(result)","[2, 3, 5, 7, 11] n = 2",2,1,20
312,Operator,Create an auto-complete suggestion engine that takes in a prefix string and returns a set of valid words.,"def auto_complete(prefix):
    valid_words = []
    words_list = ___()

    for word in words_list:
        if word.startswith(prefix):
            valid_words.append(word)
    return set(valid_words)

prefix = 'pyth'
print(auto_complete(prefix))
# Output: {'python', 'pythagorean', 'pythagoras', 'pythons'}",prefix = 'pyth',get_words_list,1,20
339,Operator,Design a hash table in Python that can store a given key-value pair.,"class HashTable:
 def __init__(self):
 self.table = {}

 def put(self, key, value):
 self.table[key] = ___

 def get(self, key):
 return self.table[key]

# example
hash_table = HashTable()
hash_table.put('apple', 'red')
hash_table.get('apple') # returns 'red'",Key: apple; Value: red,value,1,20
416,Operator,Create a code snippet in Java to parse a comma-separated string into a list of strings.,"String str = ""Ruby,Python,JavaScript"";
List<String> ___ = Arrays.asList(str.split("",""));

// Output 
// [Ruby,Python,JavaScript]","""Ruby,Python,JavaScript""",list,1,20
436,Operator,Write a code to implement linear search in a 1-d array in Python.,"def linearSearch(arr, target):
    for i in range(len(arr)):
        if arr[i] == ___:
            return i
    return -1

print(linearSearch([1,2,3,4], 3)) # Output: 2","Input array: [1,2,3,4]
Target element: 3",target,1,20
447,Operator,Generate an algorithm in Python that sorts the given array of numbers in the non-decreasing order.,"def bubble_sort(arr): 
    n = ___(arr)
  
    for i in range(n-1): 
        for j in range(0, n-i-1): 
            if arr[j] > arr[j+1] : 
                arr[j], arr[j+1] = arr[j+1], arr[j] 
  
arr = [1, 9, 3, 8, 4]

bubble_sort(arr) 

print (""Sorted array is:"") 
for i in range(len(arr)): 
    print (""%d"" %arr[i])","arr = [1, 9, 3, 8, 4]",len,1,20
456,Operator,Write a Python function to find all possible n-letter words from a given list of letters.,"def find_words_length_n(letters, n):
    words = ___()
    for combo in itertools.combinations_with_replacement(letters, n):
        for perm in itertools.permutations(combo):
            words.add("""".join(perm))
    return words

words = find_words_length_n([""a"",""b"",""c""], 2)
print(words)","[""a"",""b"",""c""], n = 2",set,1,20
493,Operator,Create a Python script to calculate and display the distance between two points in 2-dimensional space.,"import math
 
def distance(p1,p2):
 x1,y1 = ___
 x2,y2 = p2
 d = math.sqrt((x2-x1)**2+(y2-y1)**2)
 return d
 
x1,y1 = (5,3)
x2,y2 = (2,2)
print(f""The distance between 2 points ({x1},{y1}) & ({x2},{y2}) is: {distance((x1,y1),(x2,y2))}"")

// Output:
The distance between 2 points (5,3) & (2,2) is: 3.1622776601683795","Two points: (5,3) & (2,2)",p1,1,20
575,Operator,Write an if-else statement for a simple weather notification system in Python.,"if 60 <= ___ <= 75:
   print(""It's Perfect Weather!"")
else:
   print(""The weather is not so great."")","If the temperature is between 60 and 75 degrees, print a message that it is “Perfect Weather"".",temperature,1,20
670,Operator,Modify the following code to reverse a string without using the built-in reverse() method in Python.,"def reverseString(string):
    newString = """"
    length = ___(string)
    for i in range(length - 1, -1, -1):
        newString += string[i]
    return newString

print(reverseString(""Hello World!""))","""Hello World!""",len,1,20
775,Operator,Use an if-else statement in Python to determine if a number is even or odd.,"if n % ___ == 0:
    print(n, 'is an even number')
else:
    print(n, 'is an odd number')",n = 7,2,1,20
853,Operator,Generate a program in Python to evaluate the following expression: (x*x) − (𝑦*𝑦),"x = ___
y = 5

result = (x*x) - (y*y)
print(result)","x=10
y=5",10,1,20
885,Operator,Create a Python function that takes in an array-like data structure and returns the difference of its maximum and minimum values.,"def get_difference(arr):
    return max(arr) - ___(arr)

input_arr = [100, 45, 56, 30, 90, 100]
difference = get_difference(input_arr)
print(difference)  # Output: 70","[100, 45, 56, 30, 90, 100]",min,1,20
889,Operator,Generate a two-dimensional array of ones using Python.,"import numpy as np 

arr = ___.ones((r,c))","r = 4, c = 5",np,1,20
932,Operator,Write a Python program to find the first non-repeated character of a given string.,"def first_non_repeated_char(string):
    for ch in string:
        if string.count(ch) == ___:
            return ch","string = ""teststring""",1,1,20
1020,Operator,Create a functional programming program to calculate the value of the Fibonacci number up to the n-th number in Python.,"def fibonacci(n):
 if n < ___:
 raise ValueError(""Negative number"")
 if n == 0 or n == 1:
 return n
 return fibonacci(n-1) + fibonacci(n-2)
 
# calculate 9th Fibonacci number
print(fibonacci(9))",The number should be 9.,0,1,20
1022,Operator,Write a Python program to find the first non-repeating character in a given list.,"def first_non_repeating_char(lst):
    dct = {}
    
    for l in lst:
        if l in dct:
            dct[l] += ___
        else:
            dct[l] = 1
            
    for l in lst:
        if dct[l] == 1:
            return l
            
    return None

lst = [1, 2, 3, 4, 4, 3, 2, 1]
print(first_non_repeating_char(lst))","lst = [1, 2, 3, 4, 4, 3, 2, 1]",1,1,20
1071,Operator,Encode a given URL using percent-encoding.,"String url = ""https://www.example.com/search?q=python"";
String encodedUrl = ___.encode(url, ""UTF-8"");
System.out.println(encodedUrl);  // https%3A%2F%2Fwww.example.com%2Fsearch%3Fq%3Dpython",https://www.example.com/search?q=python,URLEncoder,1,20
1079,Operator,Implement a function in Python to find the length of a given string without using the len() built-in function.,"def getStringLength(my_string): 
    # Initialize counter  
    count = ___
  
    for s in my_string: 
        count+= 1
  
    return count","""Hello World!""",0,1,20
1137,Operator,Rewrite the following Python program using the try/except approach.,"try:
    c = ___ / b
except ZeroDivisionError:
   print(""Division by zero error!"")","a = 3
b = 0
c = a / b",a,1,20
1160,Operator,Create a Python program to convert a comma-separated string into a list.,"string = ""1,2,3,4,5""
list = ___.split("","")
print(list)","""1,2,3,4,5""",string,1,20
1179,Operator,Write a Python program that calculates the distance between two points on a two-dimensional plane.,"#include <iostream>
#include <math.h> ___ main() 
{ 
    int x1 = 3; 
    int y1 = 4; 

    int x2 = -9; 
    int y2 = -2;

    float distance = sqrt(pow(x2 - x1, 2) + pow(y2 - y1, 2)); 

    std::cout << ""Distance between the two points is: "" << distance << std::endl; 

    return 0; 
}","Point1 (x1: 3, y1: 4); Point2 (x2: -9, y2: -2)",int,1,20
1195,Operator,"Edit the given Python program so that it prints the current date, in the format YYYY-mm-dd.","from datetime import date

print(""Hello!"")

current_date = ___.today().strftime(""%Y-%m-%d"")
print(""Today's date is"", current_date)","print(""Hello!"")",date,1,20
1208,Operator,Re-write the following code snippet in Python:,"nums = [1, 2, 3, 4, 5]
squared_nums = ___(map(lambda num: num * num, nums))","let nums = [1, 2, 3, 4, 5];
let squaredNums = nums.map(num => num * num);",list,1,20
1271,Operator,Write a script in python that can take a magnitude and corresponding angle (in degrees) and convert it to vectors in three-dimensional space.,"import math

def magnitude_to_vector(magnitude, angle):
    x = ___ * math.cos(math.radians(angle))
    y = magnitude * math.sin(math.radians(angle))
    z = 0
    
    return (x, y, z)

result = magnitude_to_vector(5, 90)

print(f""The vector is {result}"")","magnitude: 5
angle: 90",magnitude,1,20
1310,Operator,Edit the following Python code to calculate the sum of all the elements in a two-dimensional array.,"arr = [[1,2,3], [4,5,6], [7,8,9]]

sum = ___

for row in arr:
 for col in row:
  sum = sum + col

print(""Sum:"", sum)","arr = [[1,2,3], [4,5,6], [7,8,9]]",0,1,20
1330,Operator,Create a function in Python that takes a two-dimensional array with n rows and m columns and returns the transposed array.,"def transpose(matrix):
    num_rows = ___(matrix)
    num_cols = len(matrix[0])
    transposed = [ [0 for j in range(num_rows)] for i in range(num_cols) ]
    for i in range(num_rows):
        for j in range(num_cols):
            transposed[j][i] = matrix[i][j]
    return transposed","[ [1, 2, 3],
  [4, 5, 6],
  [7, 8, 9] ]",len,1,20
1355,Operator,Write a method in Python to calculate the sum of two numbers without using any built-in functions.,"def sum_two_numbers(a, b):
    result = ___

    for i in range(b):
        result += a

    return result

a = 3
b = 5

print(sum_two_numbers(a, b))","3, 5",0,1,20
