question_id,material,instruction,template,input,correct_answer,attempts,duration
32,Control Structure,Write a python program to check if two sequences are identical.,"def check_seq(seq1, seq2):
    if ___ (seq1) != len (seq2): 
        return False
    else: 
        for i in range(len (seq1)):
            if seq1[i] != seq2[i]:
                return False
    return True","[1,2,3], [1,2,3]",len,1,20
47,Control Structure,Write a Python program to take user input and check if it is a palindrome or not.,"def isPalindrome(inp):
 inp = inp.lower()
 return inp == inp[::-1]

user_input = input('Enter string: ')
if ___(user_input):
 print('It\'s a palindrome')
else:
 print('It\'s not a palindrome')",racecar,isPalindrome,1,20
63,Control Structure,Write a Python script that uses recursion to calculate the Fibonacci sequence for a given number of terms.,"def Fibonacci(n): 
   if ___<0: 
      print(""Incorrect input"") 
   elif n==1: 
      return 0
   elif n==2: 
      return 1
   else: 
      return Fibonacci(n-1)+Fibonacci(n-2) 
 
# Driver Program 
n = 6
print(Fibonacci(n))",6,n,1,20
77,Control Structure,Create an API wrapper in Python for the following API,"import requests 

# API wrapper for ___ given API 
def api_wrapper(url): 
    # get the API response 
    response = requests.get(url) 

    # check the response status 
    if(response.status_code == 200): 
        # return json data 
        return response.json()
    else: 
        return None","""https://example.com/api/users/list""",the,1,20
94,Control Structure,Design a function in Python to determine if a given number is prime.,"def is_prime(n):
    if ___ <= 1: 
        return False
    if n == 2: 
        return True
    if n > 2 and n % 2 == 0: 
        return False

    sqrt_n = int(n**0.5)
    for i in range(3, sqrt_n+1, 2):
        if n % i == 0:
            return False
    return True

if is_prime(37):
    print('37 is a prime number!')",37,n,1,20
134,Control Structure,Construct a python program to check if two given strings are anagrams.,"def isAnagram(str1, str2):  
    n1 = len(str1)
    n2 = len(str2) 
    if ___ != n2: 
        return False
    str1 = ''.join(sorted(str1)) 
    str2 = ''.join(sorted(str2))  
    for i in range(n1):  
        if str1[i] != str2[i]:  
            return False
    return True","String1: army
String2: mary",n1,1,20
141,Control Structure,"Create a Python program that reads an integer from the console and prints ""true"" if the number is even, and ""false"" if the number is odd.","num = int(input())
if ___ % 2 == 0:
    print(""true"")
else:
    print(""false"")",3,num,1,20
143,Control Structure,Design a function for ordering a pizza in Python and use it to order a pizza with 3 toppings.,"def orderPizza(toppings):
    print(""Ordering a pizza with the following toppings:"")
    for ___ in toppings:
      print(topping)
    print(""Thank you!"")
orderPizza([""Pepperoni"", ""Mushroom"", ""Olives""])","Toppings: Pepperoni, Mushroom, Olives",topping,1,20
164,Control Structure,Design a Python program for verifying the two strings are rotations of each other?,"def check_rotation(str1, str2): 
	if ___(str1) != len(str2): 
		return False
	temp = str1 + str1
	return (str2 in temp) 

s1 = ""Hello World""
s2 = ""World Hello""
if check_rotation(s1, s2): 
	print('These strings are rotations of each other'); 
else: 
	print('These strings are not rotations of each other')","s1 = ""Hello World""
s2 = ""World Hello""",len,1,20
182,Control Structure,Create a method in Python that takes two arguments and returns a specified error message if one of the two conditions is not met.,"def check_input(arg1, arg2):
   if ___(arg1) is not int or type(arg2) is not int:
      return ""The input must be a number!""
   else:
      return ""The input is valid!""","error_message = ""The input must be a number!""",type,1,20
186,Control Structure,Create a program in Python to check for duplicate words in a given sentence.,"sentence = ""I am going to the store to buy food""

words = sentence.split(' ')

#Table to keep track of duplicates
table = []

for ___ in words:
 if word in table:
 print(""Duplicate word found: ""+word)
 else:
 table.append(word)","sentence = ""I am going to the store to buy food""",word,1,20
221,Control Structure,Generate the following sequence using a while loop in Python.,"a, b = 0, 1
while ___ < 100:
    print(a)
    a, b = b, a + b","0, 1, 2, 4, 7, 11, ...",b,1,20
250,Control Structure,Edit the Python program below to add an if condition to determine if an input number is odd or even.,"def odd_or_even(number):
    # your code here
    if ___ % 2 == 0:
        return ""even""
    else:
        return ""odd""","def odd_or_even(number):
    # your code here",number,1,20
269,Control Structure,Create a python program that detects if a number is even or odd.,"def is_even_odd(num):
    if ___ % 2 == 0:
        return ""Even""
    else:
        return ""Odd""

result = is_even_odd(7)
print(result)",7,num,1,20
310,Control Structure,Design a program to find the nth term of the Fibonacci sequence for a given number n.,"# Python 3 program to find the nth
# Fibonacci number
def Fibonacci(n):
    if ___<0:
        print(""Incorrect input"")
    # First Fibonacci number is 0
    elif n==1:
        return 0
    # Second Fibonacci number is 1
    elif n==2:
        return 1
    else:
        return Fibonacci(n-1)+Fibonacci(n-2)
 
# Driver Program
print(Fibonacci(10))

# Output
34",n = 10,n,1,20
366,Control Structure,"Create a Python program to grade a multiple choice test with 4 options for each question, and each correct answer is worth 3 points.","def grade_test(questions):
    score = 0
    for ___ in questions:
        if question['answer'] == question['correct_answer']:
            score += 3
    return score","Example question:
What color is the sky?
A. Red B. White C. Yellow D. Blue

Correct Answer: D",question,1,20
382,Control Structure,Optimize the following python code for a more efficient solution.,"def to_square(nums):
    squares = [num * num for ___ in nums]
    return squares","def to_square(nums):
    squares = []
    for num in nums:
        squares.append(num * num)
    return squares",num,1,20
429,Control Structure,Develop a Python program to detect if an entered number is even or odd.,"even_or_odd = int(input(""Please enter a number: ""))
if ___ % 2 == 0:
  print(""The number is Even."")
else:
  print(""The number is Odd."")",The entered number is 344,even_or_odd,1,20
443,Control Structure,Modify the following code in Python to only repeat a segment of the code while a certain user input is given.,"# Get user input
input = input('Enter ""repeat"" to repeat the code: ')

# Execute the code while ___ input is ""repeat"" 
while input == 'repeat':
	print(""Hello World"")
	input = input('Enter ""repeat"" to repeat the code: ')","while True:
	print(""Hello World"")",user,1,20
451,Control Structure,Write a Python script to search a given dictionary for a given word.,"def search_word(word, dictionary):
    if ___ in dictionary.keys():
        return dictionary[word]
    else:
        return None

dictionary = {'hello': 'string', 'goodbye': 'bye'}

word = 'hello'

result = search_word(word, dictionary)

if result:
    print('Word found in dictionary: ' + result)

else:
    print('Word not found in dictionary.')","dictionary = {""hello"": ""Str",word,1,20
498,Control Structure,Modify this Python code to add an exception for invalid input.,"def calculate(a, b):
    if ___ == 0:
        raise ZeroDivisionError
    elif b > 0:
        c = a / b
        return c
    else:
        raise ValueError","def calculate(a, b):
    if b > 0:
        c = a / b
        return c",b,1,20
533,Control Structure,Suggest an web scraping algorithm for the following website.,"A useful strategy for ___ scraping this site would be to use the Python library requests to make HTTP requests and BeautifulSoup to parse the HTML content. First, you should make an HTTP request to the website, then you should use BeautifulSoup to find the specific elements you are interested in and extract the data.",https://www.example.com/,web,1,20
589,Control Structure,Write an algorithm in Python to check if a number is a palindrome.,"def is_palindrome(number): 
num = number  
   
# initializing a reverse number  
reverse = 0
  
# Reverse the given number 
while(number > 0): 
   remainder = number % 10
   # Create reverse 
   reverse = (reverse * 10) + remainder 
   number = number // 10 
 
# check if ___ and reverse numbers are same
if (num == reverse): 
  return True
else: 
  return False",number = 121,original,1,20
591,Control Structure,Develop Python code to check if a given number is plaindrome.,"def is_plaindrome(num):
    original_num = num
    reversed_num = 0
    while ___ > 0:
        remainder = num % 10
        reversed_num = (reversed_num * 10) + remainder
        num //= 10
    return reversed_num == original_num

num = 1454
if is_plaindrome(num):
    print(num, ""is a plaindrome"")
else:
    print(num, ""is not a plaindrome"")",1454,num,1,20
596,Control Structure,Test if a given number is a Prime or not using Python.,"if ___<=1: 
  print(""Number is not a prime number."") 
for i in range(2,int(number**0.5)+1):
  if(number % i == 0):
    print(""Number is not a prime number."")
    break
else: 
  print(""Number is a prime number."")",number = 32,number,1,20
604,Control Structure,Create a function in Python to compare two strings and return true if the strings only differ by one character.,"def compare_strings(s1, s2):
    mismatch_count = 0

    for ___ in range(len(s1)):
        if s1[i] != s2[i]:
            if mismatch_count > 0:
                return False

            mismatch_count += 1

    return mismatch_count == 1

compare_strings('apple', 'acple')","s1 = 'apple'
s2 = 'acple'",i,1,20
