question_id,Instruction,materi
0,Create a function in Python which takes a list of numbers and returns the sum of squares of those numbers.,Data Structure
1,Design a function in Python that sorts a list of strings in alphabetical order.,Data Structure
2,Edit the following Python code such that it will print an array containing the seven days of the week.,Introduction Python
3,Create a Python program to check if an integer is divisible by 5,Control Structure
4,Create a Python algorithm to calculate the target sums of all elements in a given list with a given value,Data Structure
5,Write a Python program to generate a Fibonacci sequence where the number of elements is given as an input.,Lainnya
6,Identify the output of the following python code snippet:,Lainnya
7,Create a Python program to sort a list of tuples according to the third element in the tuple.,Data Structure
8,Please generate a Python script that calculates the mean of a given array of numbers.,Data Structure
9,Fix the following syntax in Python code,Lainnya
10,Write a Python function which takes in an argument and returns a corresponding string.,Data Type
11,Generate a code snippet to print a pattern of stars in Python.,Introduction Python
12,Write a python program to successfully insert a row into a table named 'students' with the given values.,Lainnya
13,Create an algorithm in Python to find the first index of an item in an array.,Data Structure
14,Generate a function in Python to convert a given integer to its binary representation.,Function
15,Suggest a way to randomize the order of the following list using Python.,Data Structure
16,Generate a correct Python program to take two lists as input and combine them into a 3rd list.,Data Structure
17,Create a python function that can receive a list of integers and return a list of tuples with consecutive numbers.,Data Structure
18,Create a function in Python to compute a Fibonacci sequence. The function should take as input a positive integer n and return the nth Fibonacci number,Function
19,Write a Python program to remove an item from a list whose index is specified.,Data Structure
20,Create a web server in Python.,Lainnya
21,Construct a function that will find the value of a given key in a Python dictionary.,Function
22,Build a Python script to remove all punctuation from a given string.,Data Type
23,Generate a program in Python that takes a given dictionary and finds the key with the highest value.,Lainnya
24,Create a program in Python to split a string into an array based on a given delimiter.,Data Type
25,Design a Python function that converts strings in any given sentence to a capitalized format.,Function
26,"Using the given data, write a Python program to extract each name along with its age in the following format:",Lainnya
27,Construct a Python program that calculates the sum of all the items in a given list.,Data Structure
28,Write a function in Python that takes an array of integers and its size as parameters and returns the maximum value in the array.,Data Structure
29,Create a program in Python to convert an array of integers to an array of binary numbers.,Data Structure
30,Generate a function in Python to filter a given list and keep only the numeric items in the list.,Data Structure
31,Create an algorithm to determine if two strings have the same character set in Python.,Data Structure
32,Write a python program to check if two sequences are identical.,Control Structure
33,Design a Python script to nested loop iterate the following list of lists.,Data Structure
34,Design a class in Python that models a customer with the following properties,OOP
35,Create a Python program to find the area of a given trapezoid.,Lainnya
36,Write a function in Python that computes the average of all numbers in a given list.,Data Structure
37,"Create a Python script to transform a list of strings into a list of integers, each integer representing the length of the corresponding string.",Data Type
38,Create a Python program to multiply all of the values in a given list,Data Structure
39,Write a Python program to calculate the cost of sending a message through a messaging service,Lainnya
40,Develop a program in Python to compute the maximum contiguous subarray sum.,Lainnya
41,Create a Python program to generate a dot product between two given lists.,Lainnya
42,Use an existing Python function to find the longest string in the following array.,Data Type
43,Write a python program to reverses a list while preserving the order of the elements,Data Structure
44,Create an algorithm using Python to find the largest number in a list.,Data Structure
45,Refactor a Python program to concatenate two strings without using the string.concat() function,Data Type
46,Create a Python program that produces the output shown in this example.,Lainnya
47,Write a Python program to take user input and check if it is a palindrome or not.,Control Structure
48,Create a program in Python to sort a given unsorted list.,Data Structure
