question_id,material,instruction,template,input,correct_answer,attempts,duration
189,Data Type,Build a mini classifier model in Python to predict whether a given string is palindrome or not.,"class Palindrome:

def __init__(self, str):
    self.str = str ___ is_palindrome(self):
    return self.str == self.str[::-1]

palindrome = Palindrome(""level"")
if palindrome.is_palindrome():
    print(""The string is a palindrome"")
else:
    print(""The string is not a palindrome"")",'level',def,1,20
236,Data Type,Write a code to detect any pattern in a given string in Python.,"def detect_pattern(my_string):
    for i in range(len(my_string)):
        if my_string.count(my_string[i]) > 1:
            return True ___ False

if __name__ == '__main__':
    print(detect_pattern(my_string))","my_string = ""aabccba""",return,1,20
313,Data Type,Write a Python program to determine whether or not a given string is a palindrome.,"def isPalindrome(s):

 # remove whitespaces
 s = ''.join(s.split())

 # reverse string
 rev = s[::-1]

 # compare
 if rev == s:
 return True ___ False

if isPalindrome(""racecar""):
 print('String is a palindrome')
else:
 print('String is not a palindrome')","""racecar""",return,1,20
412,Data Type,Write a python function which will check if input string is palindrome or not.,"def is_palindrome(input_string):
    if input_string == input_string[::-1]:
        return True ___:
        return False
    
input_string = ""racecar""

check_palindrome = is_palindrome(input_string)

if check_palindrome == True:
    print(""Input string is a palindrome"")
else:
    print(""Input string is NOT a palindrome"")","input_string = ""racecar""",else,1,20
602,Data Type,Create a Python program to convert a list of characters into a string,"def list_to_str(arr):
    str = """"
    for i in arr:
        str += i
    return str ___ = ['a', 'b', 'c']
  
result = list_to_str(arr) 
print(result)","Convert this array ['a', 'b', 'c'] into a string",arr,1,20
632,Data Type,Create a Python script to validate a JSON string.,"import json

def validate_json_string(s):
    try:
        json_obj = json.loads(s)
        return True ___ json.JSONDecodeError:
        return False","""{""name"":""John"",""age"":30}""",except,1,20
664,Data Type,Write a function in Python that takes a given string and checks if it is a palindrome or not.,"def isPalindrome(s):
    left = 0 
    right = len(s)-1 
      
    while(left < right ): 
        if (s[left] != s[right]): 
            return False ___ += 1
        right -= 1
    return True
  
print (isPalindrome(""racecar""))","""racecar""",left,1,20
850,Data Type,Create a Python program to check if a given string can be formed from a given set of words.,"def word_set(string, words):
    words_set = set(words)
    string_set = set(string)
    
    if string_set.issubset(words_set):
        return True ___:
        return False

word_set(""justdoit"", [""just"", ""do"", ""it""])","String: ""justdoit""
Set of words: [""just"", ""do"", ""it""]",else,1,20
862,Data Type,Create a program in Python that has the following purpose: To determine if a given string is a palindrome,"def check_palindrome(inputStr): 
     
    revStr = reversed(inputStr)
  
    if list(inputStr) == list(revStr): 
        return True ___: 
        return False
      
userInput = ""radar""

if(check_palindrome(userInput)): 
    print(""Yes"") 
else: 
    print(""No"")","""radar""",else,1,20
944,Data Type,Generate a Python program to search for a specific string in a list.,"def search_string(lst, str):
    for item in lst:
        if item == str:
            return True ___ False

lst = [""hello"", ""world"", ""this"", ""is"", ""a"", ""test""]
str = ""test""
print(search_string(lst, str))","lst = [""hello"", ""world"", ""this"", ""is"", ""a"", ""test""]
str = ""test""",return,1,20
957,Data Type,Design a program in Python that accepts a string as input and checks whether or not it is palindrome.,"def isPalindrome(str): 
    for i in range(0, int(len(str)/2)):  
        if str[i] != str[len(str)-i-1]: 
            return False ___ True

inputStr = 'madam'

if (isPalindrome(inputStr)): 
    print(""Yes"")
else: 
    print(""No"")",madam,return,1,20
980,Data Type,Create a python function that takes a string of characters as input and checks if it is a valid identifier.,"import string

def isValidIdentifier(name):
    validChar = string.ascii_letters + ""_""
    if name[0] not in string.ascii_letters:
        return False ___ char in name[1:]:
        if char not in validChar:
            return False
            
    return True

validResult = isValidIdentifier(name)
print(validResult)","name = ""myVar""",for,1,20
1026,Data Type,Develop a program in Python to check whether a string contains only digits.,"def is_digit_only(string):
    for char in string:
        if not char.isdigit():
            return False ___ True

print(is_digit_only(""0123""))","""0123""",return,1,20
1158,Data Type,Develop an algorithm to check if a string S is a palindrome in Python.,"def is_palindrome(s):
    # Convert strings to lowercase
    s = s.lower()
 
    # Iterate through middle of string with indices 
    for i in range(len(s) // 2):
        if s[i] != s[len(s) - i - 1]:
            return False ___ True","String S = ""racecar""",return,1,20
1237,Data Type,Write a function in Python to search a string for a specific pattern.,"def search_for_pattern(s, pattern):
    if pattern in s:
        return True ___:
        return False

result = search_for_pattern(""abcxyzabc"", ""abc"")
print(result)","Search for ""abc"" in ""abcxyzabc",else,1,20
1326,Data Type,Filter a string in Python by removing all alphabets and keeping only the numbers.,"def filter_string(str):
    str = ''.join(x for x in str ___ x.isdigit())
    return str  

my_string = ""hey3this5is4my2string1""
print(filter_string(my_string))","my_string = ""hey3this5is4my2string1""",if,1,20
1523,Data Type,Implement a method in Python that takes two strings as input and returns true if one string is a rotation of the other.,"def isRotation(s1, s2): 
    if (len(s1) != len(s2)): 
        return False ___ = s1 + s1 
    if (s2 in temp): 
        return True
    return False

result = isRotation('abc', 'cab')
print(result)","s1='abc' 
s2='cab'",temp,1,20
1630,Data Type,Generate a Python program to search for a substring within a string.,"def search_substring(text, substring):
    if substring in text:
        return True ___:
        return False

result = search_substring(text, substring)
print(result)","text = ""This is a sample string."" 
substring = ""sample""",else,1,20
1657,Data Type,Write a Python program to check if a provided string is valid JSON.,"def is_valid_json(s):
    valid = True ___:
        json.loads(s)
    except ValueError:
        valid = False
    return valid","""<noinput>""",try,1,20
1678,Data Type,Create a Python function that takes in a string and a list of words and returns true if the string contains all the words in the list.,"def contains_words(input_string, words):
 for word in words:
 if word not in input_string:
 return False ___ True

print(contains_words('This is a test', ['test', 'this', 'is'])) # True","'This is a test', ['test', 'this', 'is']",return,1,20
1761,Data Type,Create a Python program to check if a given string has duplicates characters.,"def hasDuplicates(s):
    set = set()
    for ch in s:
        if ch in set:
            return True ___.add(ch)
    return False","String: ""helloworld""",set,1,20
1916,Data Type,Design a Python program to determine if one string is a substring of another.,"def isSubstring(str1, str2):
    if len(str1) > len(str2):
        return False ___ i in range(len(str2)):
        if (str2[i: i+len(str1)] == str1):
            return True

    return False

str1 = ""Hello""
str2 = ""Hello World""

print(isSubstring(str1, str2))","""Hello"", ""Hello World""",for,1,20
2052,Data Type,Write a Python program to evaluate a given string and return a Boolean value.,"def evaluate_string(string):
 if string == 'The sky is blue':
  return True ___:
  return False",String = “The sky is blue”,else,1,20
2194,Data Type,"Generate a Python function that takes a string as input and returns True if the string contains a capital letter, otherwise False.","def has_capital_letter(input_string):
    for character in input_string:
        if character.isupper():
            return True ___ False",MyString,return,1,20
2239,Data Type,Generate a correct python program to identify a particular character in a string.,"def char_in_string(char, string):
    for c in string:
        if c == char:
            return True ___ False",Search for the letter 'e' in the given string,return,1,20
2243,Data Type,Create a function in Python to determine whether a given string contains any whitespace character.,"def hasWhitespace(string):
 for c in string:
  if c.isspace():
   return True ___ False

print(hasWhitespace(""Hello World""))","""Hello World""",return,1,20
2312,Data Type,Create a Python script to detect if a certain item is in a given list of items. The script should work for any type of item.,"def detect_item(items, item):
  if item in items:
    return True ___:
    return False","items = [1,2,3,4,5]",else,1,20
