Instruction,Input,Output,materi,question_id,Template,correct_answer
Edit the following Python code such that it will print an array containing the seven days of the week.,"days = [""Monday"", ""Thuesday"", ""Wednesday"", ""Thrusday"", ""Friday""]

for day in days:
    print(day)","days = [""Monday"", ""Tuesday"", ""Wednesday"", ""Thursday"", ""Friday"", ""Saturday"", ""Sunday""]

for day in days:
    print(day)",Introduction Python,2,"days = [""Monday"", ""Tuesday"", ""Wednesday"", ""Thursday"", ""Friday"", ""Saturday"", ""Sunday""]

for day in days:
    print(___)",day
Generate a code snippet to print a pattern of stars in Python.,rows = 5,"# Use two for loops to print pattern
for i in range(0, rows):
    for j in range(0, i + 1):
        print(""* "", end="""")
    print(""\r"")",Introduction Python,11,"# Use two for loops to print pattern
for i in range(0, rows):
    for j in range(0, i + 1):
        print(""* "", end="""")
    print(___)","""\r"""
Create a Python program to loop through a given list and print each item on a new line.,"my_list = [""apples"", ""oranges"", ""bananas""]","for item in my_list:
    print(item)",Introduction Python,58,"for item in my_list:
    print(___)",item
Find the most efficient Python code to print all the divisors of an input number.,input = 28,"# Python Program to find the factors of a number

# define a function
def print_divisors(input):

    # find all factors of the input number
    for i in range(1, input + 1):
        if input % i == 0:
            print (i)

# take input from the user
input = 28

# print the divisors
print_divisors(input)",Introduction Python,96,"# Python Program to find the factors of a number

# define a function
def print_divisors(input):

    # find all factors of the input number
    for i in range(1, input + 1):
        if input % i == 0:
            print(___)

# take input from the user
input = 28

# print the divisors
print_divisors(input)",i
Edit this python code to make the output print in descending order (from highest to lowest).,"my_list = [10,2,5,1,20]

for x in my_list:
    print(x)","my_list = [10,2,5,1,20]

for x in my_list:
    print(x)
    
for x in sorted(my_list, reverse=True):
    print(x)",Introduction Python,126,"my_list = [10,2,5,1,20]

for x in my_list:
    print(___)
    
for x in sorted(my_list, reverse=True):
    print(x)",x
Create a Python script to print out each word that begins with a vowel in a sentence.,Sentence: The quick brown fox jumped over the lazy dog,"for word in sentence.split():
    if word[0].lower() in 'aeiou':
        print(word)",Introduction Python,160,"for word in sentence.split():
    if word[0].lower() in 'aeiou':
        print(___)",word
"Using the input provided, write a Python program to print the sum of the numbers in both lists.","list1 = [7, 4, 5] 
list2 = [8, 10, 4]","list3 = list1 + list2

total = 0

for num in list3:
    total += num 

print(total)  # output: 29",Introduction Python,183,"list3 = list1 + list2

total = 0

for num in list3:
    total += num 

print(___)  # output: 29",total
Write a Python program to print out the factorial of a number.,7,"def factorial(x):
    factorial = 1
    while x > 1:
        factorial = factorial * x
        x = x - 1
    return factorial

number = 7
result = factorial(number)
print(result)",Introduction Python,275,"def factorial(x):
    factorial = 1
    while x > 1:
        factorial = factorial * x
        x = x - 1
    return factorial

number = 7
result = factorial(number)
print(___)",result
Construct a for loop in Python to print all the values from a list of numbers.,"mylist = [1, 2, 3, 4, 5]","for x in mylist: 
  print(x)",Introduction Python,285,"for x in mylist: 
  print(___)",x
Develop a program to print all unique strings from a given array of strings,"[""Hello"", ""World"", ""Hello"", ""Python""]","def unique_strings(strings):
    unique_strings = []
    for string in strings:
        if string not in unique_strings:
            unique_strings.append(string)
    return unique_strings

strings = [""Hello"", ""World"", ""Hello"", ""Python""]
result = unique_strings(strings)
print(result)",Introduction Python,318,"def unique_strings(strings):
    unique_strings = []
    for string in strings:
        if string not in unique_strings:
            unique_strings.append(string)
    return unique_strings

strings = [""Hello"", ""World"", ""Hello"", ""Python""]
result = unique_strings(strings)
print(___)",result
Write a Python program to print all combinations of three numbers from the given list.,"num_list = [1, 2, 3, 4]","import itertools 
  
# initializing list 
num_list = [1, 2, 3, 4] 
  
# printing all possible combinations 
result = itertools.combinations(num_list, 3) 
  
# printing the result 
print(""All possible combinations are : "") 
for item in result: 
    print(item)",Introduction Python,350,"import itertools 
  
# initializing list 
num_list = [1, 2, 3, 4] 
  
# printing all possible combinations 
result = itertools.combinations(num_list, 3) 
  
# printing the result 
print(""All possible combinations are : "") 
for item in result: 
    print(___)",item
Write a Python snippet to print the difference between the largest and smallest values in a given array.,"[1,2,3,4,5]","def diff_max_min(numbers):
    return max(numbers) - min(numbers)
  
if __name__ == '__main__':
    nums = [1,2,3,4,5]
    diff = diff_max_min(nums)
    print(diff)",Introduction Python,359,"def diff_max_min(numbers):
    return max(numbers) - min(numbers)
  
if __name__ == '__main__':
    nums = [1,2,3,4,5]
    diff = diff_max_min(nums)
    print(___)",diff
Write a Python program to print even numbers from 0 to the number provided,N = 30,"def print_even_numbers(N):
    for x in range(0, N+1):
        if x%2 == 0:
            print(x)",Introduction Python,367,"def print_even_numbers(N):
    for x in range(0, N+1):
        if x%2 == 0:
            print(___)",x
Write a Python program to print a given dictionary where the keys are numbers between 1 and 3 and the values are a list from 1 to the number key.,-,"d = {1: [1], 2: [1,2], 3: [1,2,3]}
for k,v in d.items():
    print(k,v)",Introduction Python,445,"d = {1: [1], 2: [1,2], 3: [1,2,3]}
for k,v in d.items():
    print(___)","k,v"
Create a program in Python to print all elements of a given set.,"{10, 20, 30}","my_set = {10, 20, 30}
for i in my_set:
    print(i)",Introduction Python,466,"my_set = {10, 20, 30}
for i in my_set:
    print(___)",i
Compose a Python program to print the first hundred odd numbers.,Not appliable,"# declaring an empty list
odds = []

# looping for a range of 1 to 100
for n in range(1,101):
# check if the number is odd
 if n % 2 != 0:
  # add the odd numbers to the list
  odds.append(n)

# print the list
print(odds)",Introduction Python,556,"# declaring an empty list
odds = []

# looping for a range of 1 to 100
for n in range(1,101):
# check if the number is odd
 if n % 2 != 0:
  # add the odd numbers to the list
  odds.append(n)

# print the list
print(___)",odds
Create a for-loop in Python to print a list of strings that contain only the vowels from a given list of strings.,"words = [""apple"", ""bear"", ""cat"", ""dog""]","for word in words:
    vowels = """"
    for x in word:
        if x in ('a', 'e', 'i', 'o', 'u'):
            vowels += x
    print(vowels)",Introduction Python,599,"for word in words:
    vowels = """"
    for x in word:
        if x in ('a', 'e', 'i', 'o', 'u'):
            vowels += x
    print(___)",vowels
Optimize an existing Python code snippet to print all even numbers between 1 and 10.,"num = 1
while num<=10:
    print(num)
    num+=1","num = 0
while num<=10:
    if num % 2 == 0:
        print(num)
    num+=1",Introduction Python,650,"num = 0
while num<=10:
    if num % 2 == 0:
        print(___)
    num+=1",num
Create a function in Python to print Pascal's Triangle of a given number of rows.,6,"def pascal_triangle(n):
    triangle = []

    for i in range(n):
        row = [1] * (i+1)
        triangle.append(row)

        for j in range(1,i):
            row[j] = triangle[i-1][j-1] + triangle[i-1][j]

    for row in triangle:
        print(row)

pascal_triangle(6) 
# Output: [1]
# [1, 1]
# [1, 2, 1]
# [1, 3, 3, 1]
# [1, 4, 6, 4, 1]
# [1, 5, 10, 10, 5, 1]",Introduction Python,671,"def pascal_triangle(n):
    triangle = []

    for i in range(n):
        row = [1] * (i+1)
        triangle.append(row)

        for j in range(1,i):
            row[j] = triangle[i-1][j-1] + triangle[i-1][j]

    for row in triangle:
        print(___)

pascal_triangle(6) 
# Output: [1]
# [1, 1]
# [1, 2, 1]
# [1, 3, 3, 1]
# [1, 4, 6, 4, 1]
# [1, 5, 10, 10, 5, 1]",row
Create a Python program to sort and print out the elements of an array of integers.,"[17, 41, 5, 22, 54, 6, 29, 3, 13]","arr = [17, 41, 5, 22, 54, 6, 29, 3, 13]

arr.sort()

print(arr)

# Output: [3, 5, 6, 13, 17, 22, 29, 41, 54]",Introduction Python,783,"arr = [17, 41, 5, 22, 54, 6, 29, 3, 13]

arr.sort()

print(___)

# Output: [3, 5, 6, 13, 17, 22, 29, 41, 54]",arr
